date,value,close,position,returns,cummax,drawdown
2021-09-07,111063.0616425629,1445.9857699999998,0,0.005254666876363112,117965.38284191513,-0.05851141269640092
2021-09-08,111063.0616425629,1410.0857699999997,0,0.0,117965.38284191513,-0.05851141269640092
2021-09-09,111063.0616425629,1411.0657699999997,0,0.0,117965.38284191513,-0.05851141269640092
2021-09-10,111063.0616425629,1439.5657699999997,0,0.0,117965.38284191513,-0.05851141269640092
2021-09-13,111063.0616425629,1430.98577,0,0.0,117965.38284191513,-0.05851141269640092
2021-09-14,111063.0616425629,1433.9857699999998,0,0.0,117965.38284191513,-0.05851141269640092
2021-09-15,111063.0616425629,1392.7257699999998,0,0.0,117965.38284191513,-0.05851141269640092
2021-09-16,111063.0616425629,1415.0557699999997,0,0.0,117965.38284191513,-0.05851141269640092
2021-09-17,111063.0616425629,1462.9857699999998,0,0.0,117965.38284191513,-0.05851141269640092
2021-09-22,111063.0616425629,1414.6757699999998,0,0.0,117965.38284191513,-0.05851141269640092
2021-09-23,111063.0616425629,1411.9857699999998,0,0.0,117965.38284191513,-0.05851141269640092
2021-09-24,111063.0616425629,1470.9857699999998,0,0.0,117965.38284191513,-0.05851141269640092
2021-09-27,112948.06164256288,1631.9857699999998,18,0.01697233960708311,117965.38284191513,-0.04253214865649124
2021-09-28,111909.16164256289,1599.0457699999997,35,-0.00919803301527844,117965.38284191513,-0.051338969564216574
2021-09-29,111837.06164256288,1596.9857699999998,35,-0.0006442725416020423,117965.38284191513,-0.051950165817414184
2021-09-30,112187.06164256288,1606.9857699999998,35,0.003129552894715948,117965.38284191513,-0.04898319371451321
2021-10-08,112523.06164256288,1616.5857699999997,35,0.002994997774970809,117965.38284191513,-0.046134900495728215
2021-10-11,113486.2616425629,1644.1057699999997,35,0.008560023038296727,117965.38284191513,-0.03796979326854455
2021-10-12,113701.5416425629,1647.9757699999998,52,0.001896969702623874,117965.38284191513,-0.03614485111336596
2021-10-13,116764.8616425629,1706.8857699999999,52,0.02694176310845453,117965.38284191513,-0.010176894021198035
2021-10-14,115782.0616425629,1687.9857699999998,52,-0.008416915724257179,117965.38284191513,-0.01850815168614406
2021-10-15,116092.5016425629,1693.9557699999998,52,0.002681244362001234,117965.38284191513,-0.015876532201502425
2021-10-18,110010.0616425629,1576.9857699999998,52,-0.05239304790525767,117965.38284191513,-0.06743776019455738
2021-10-19,110643.4216425629,1589.1657699999998,52,0.005757291565364975,117965.38284191513,-0.062068727477147756
2021-10-20,112142.0616425629,1617.9857699999998,52,0.013544772728028898,117965.38284191513,-0.04936466155631469
2021-10-21,112298.0616425629,1620.9857699999998,52,0.0013910926704490123,117965.38284191513,-0.04804223970473587
2021-10-22,115262.0616425629,1677.9857699999998,52,0.026394044177131093,117965.38284191513,-0.02291622452473996
2021-10-25,113807.6216425629,1650.0157699999997,52,-0.012618549237045085,117965.38284191513,-0.03524560425429235
2021-10-26,113184.66164256289,1638.0357699999997,52,-0.005473798599856083,117965.38284191513,-0.04052647551493016
2021-10-27,110998.0616425629,1595.98577,52,-0.019318872082732086,117965.38284191513,-0.05906242180122534
2021-10-28,111335.5416425629,1602.4757699999998,52,0.0030404134541264227,117965.38284191513,-0.05620158252897678
2021-10-29,111366.22164256289,1603.0657699999997,52,0.0002755633964444115,117965.38284191513,-0.05594150623149963
2021-11-01,110166.0616425629,1579.9857699999998,52,-0.010776696760459226,117965.38284191513,-0.06611533834297867
2021-11-02,109831.47321879548,1581.6257699999999,0,-0.0030371279392105155,117965.38284191513,-0.06895166554089738
2021-11-03,109831.47321879548,1541.9857699999998,0,0.0,117965.38284191513,-0.06895166554089738
2021-11-04,109831.47321879548,1581.1857699999998,0,0.0,117965.38284191513,-0.06895166554089738
2021-11-05,109831.47321879548,1596.9257699999998,0,0.0,117965.38284191513,-0.06895166554089738
2021-11-08,109831.47321879548,1597.0857699999997,0,0.0,117965.38284191513,-0.06895166554089738
2021-11-09,109831.47321879548,1566.9957699999998,0,0.0,117965.38284191513,-0.06895166554089738
