"Date","ETF","Weight"
2026-01-09,"沪深300ETF",0.485109875960854
2026-01-12,"沪深300ETF",0.507295515778162
2026-01-13,"沪深300ETF",0.495129180686852
2026-01-14,"沪深300ETF",0.471760782081859
2026-01-15,"沪深300ETF",0.475105057878836
2026-01-16,"沪深300ETF",0.460061740387115
2026-01-19,"沪深300ETF",0.462191076776482
2026-01-20,"沪深300ETF",0.409801377165017
2026-01-21,"沪深300ETF",0.349164916441328
2026-01-22,"沪深300ETF",0.37053319873215
2026-01-23,"沪深300ETF",0.226557111558162
2026-01-26,"沪深300ETF",0.181096758882051
